"Freq [kHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [uOhm]","ACL(SignalNet1:Source1,SignalNet1:Source1) [pH]","C(SignalNet1,SignalNet1) [pF]"
316,71.1599081940601,307.768196222089,
317,71.2724140480169,307.71162154554,
318,71.3847425874525,307.655313940911,
319,71.4968946481016,307.599271313517,
320,71.6088710591547,307.543491591602,
321,71.7206726433288,307.487972726016,
322,71.8323002169388,307.432712689902,
323,71.9437545899665,307.377709478381,
324,72.0550365661292,307.322961108248,
325,72.1661469429477,307.268465617673,
326,72.2770865118124,307.214221065905,
327,72.3878560580496,307.16022553298,
328,72.4984563609861,307.10647711944,
329,72.6088881940131,307.052973946046,
330,72.7191523246496,306.999714153508,
331,72.8292495146043,306.94669590221,
332,72.9391805198371,306.893917371943,
333,73.0489460906198,306.841376761647,
334,73.1585469715957,306.789072289147,
335,73.2679839018386,306.737002190901,
336,73.3772576149107,306.685164721754,
337,73.4863688389205,306.633558154686,
338,73.5953182965789,306.582180780576,
339,73.7041067052553,306.53103090796,
340,73.8127347770326,306.480106862801,
341,73.9212032187616,306.429406988255,
342,74.0295127321148,306.378929644447,
343,74.1376640136391,306.328673208248,
344,74.2456577548084,306.278636073055,
345,74.3534946420747,306.228816648577,
346,74.4611753569196,306.179213360619,
347,74.568700575904,306.129824650878,
348,74.676070970718,306.080648976732,
349,74.78328720823,306.031684811045,
350,74.8903499505344,305.982930641958,
351,74.9972598550001,305.934384972702,
352,75.1040175743169,305.8860463214,
353,75.2106237565425,305.837913220878,
354,75.3170790451481,305.78998421848,
355,75.4233840790639,305.742257875879,
356,75.5295394927235,305.694732768901,
357,75.6355459161087,305.647407487345,
358,75.7414039747923,305.600280634803,
359,75.8471142899819,305.553350828495,
360,75.9526774785621,305.506616699091,
361,76.0580941531364,305.460076890547,
362,76.1633649220691,305.41373005994,
363,76.2684903895256,305.367574877302,
364,76.3734711555135,305.321610025464,
365,76.4783078159222,305.275834199897,
366,76.5830009625625,305.230246108552,
367,76.6875511832053,305.184844471712,
368,76.7919590616207,305.139628021842,
369,76.8962251776154,305.094595503435,
370,77.0003501070705,305.049745672868,
371,77.1043344219786,305.005077298261,
372,77.2081786904808,304.96058915933,
373,77.3118834769023,304.916280047249,
374,77.4154493417884,304.872148764513,
375,77.5188768419403,304.828194124802,
376,77.6221665304493,304.784414952844,
377,77.7253189567318,304.740810084286,
378,77.8283346665634,304.697378365565,
379,77.9312142021122,304.654118653776,
380,78.0339581019724,304.611029816549,
381,78.1365669011973,304.568110731921,
382,78.2390411313314,304.525360288217,
383,78.3413813204431,304.48277738393,
384,78.4435879931557,304.440360927594,
385,78.5456616706796,304.398109837677,
386,78.6476028708425,304.356023042457,
387,78.7494121081209,304.314099479911,
388,78.8510898936695,304.272338097603,
389,78.9526367353519,304.230737852574,
390,79.0540531377699,304.189297711227,
391,79.1553396022924,304.148016649226,
392,79.256496627085,304.106893651387,
393,79.3575247071381,304.06592771157,
394,79.4584243342953,304.025117832582,
395,79.5591959972813,303.984463026068,
396,79.6598401817297,303.943962312417,
