Date:  15:42, Wednesday, March 13, 2013
Model name: RD100_solder
Study name: Study 1
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Kelvin)  ,X (mm)  ,Y (mm)  ,Z (mm)  ,Components
20297  ,3.444e+002  ,-5.0751  ,9.9186  ,-30.912  ,iso-1
20298  ,3.444e+002  ,-3.6544  ,9.9186  ,20.798  ,iso-1
20299  ,3.445e+002  ,-3.6544  ,9.9186  ,19.359  ,iso-1
20300  ,3.447e+002  ,-3.6544  ,9.9186  ,17.916  ,iso-1
20301  ,3.449e+002  ,-3.6544  ,9.9186  ,16.471  ,iso-1
20302  ,3.452e+002  ,-3.655  ,9.9186  ,15.026  ,iso-1
20303  ,3.455e+002  ,-3.6587  ,9.9186  ,13.576  ,iso-1
20304  ,3.458e+002  ,-3.6577  ,9.9186  ,12.12  ,iso-1
20305  ,3.462e+002  ,-3.6526  ,9.9186  ,10.665  ,iso-1
20306  ,3.466e+002  ,-3.656  ,9.9186  ,9.2143  ,iso-1
20307  ,3.471e+002  ,-3.6588  ,9.9186  ,7.7598  ,iso-1
20308  ,3.476e+002  ,-3.6562  ,9.9186  ,6.3065  ,iso-1
20309  ,3.483e+002  ,-3.6549  ,9.9186  ,4.8587  ,iso-1
20310  ,3.490e+002  ,-3.6545  ,9.9186  ,3.4133  ,iso-1
20311  ,3.500e+002  ,-3.6544  ,9.9186  ,1.9684  ,iso-1
20312  ,3.512e+002  ,-3.6558  ,9.9186  ,0.52168  ,iso-1
20313  ,3.530e+002  ,-3.6655  ,9.9186  ,-0.9373  ,iso-1
20314  ,3.566e+002  ,-3.6544  ,9.9186  ,-2.4067  ,iso-1
20315  ,3.565e+002  ,-3.6544  ,9.9186  ,-7.7073  ,iso-1
20316  ,3.538e+002  ,-3.6311  ,9.9186  ,-8.7481  ,iso-1
20317  ,3.517e+002  ,-3.6468  ,9.9186  ,-10.144  ,iso-1
20318  ,3.504e+002  ,-3.652  ,9.9186  ,-11.583  ,iso-1
20319  ,3.494e+002  ,-3.6535  ,9.9186  ,-13.027  ,iso-1
20320  ,3.485e+002  ,-3.6541  ,9.9186  ,-14.471  ,iso-1
20321  ,3.479e+002  ,-3.6543  ,9.9186  ,-15.915  ,iso-1
20322  ,3.473e+002  ,-3.6544  ,9.9186  ,-17.36  ,iso-1
20323  ,3.468e+002  ,-3.6544  ,9.9186  ,-18.805  ,iso-1
20324  ,3.463e+002  ,-3.6544  ,9.9186  ,-20.249  ,iso-1
20325  ,3.459e+002  ,-3.6544  ,9.9186  ,-21.694  ,iso-1
20326  ,3.456e+002  ,-3.6544  ,9.9186  ,-23.139  ,iso-1
20327  ,3.453e+002  ,-3.6544  ,9.9186  ,-24.583  ,iso-1
20328  ,3.450e+002  ,-3.6544  ,9.9186  ,-26.028  ,iso-1
20329  ,3.448e+002  ,-3.6544  ,9.9186  ,-27.48  ,iso-1
20330  ,3.446e+002  ,-3.6544  ,9.9186  ,-29.005  ,iso-1
20331  ,3.444e+002  ,-3.6544  ,9.9186  ,-30.912  ,iso-1
20332  ,3.444e+002  ,-2.2337  ,9.9186  ,20.811  ,iso-1
20333  ,3.445e+002  ,-2.2337  ,9.9186  ,19.368  ,iso-1
20334  ,3.447e+002  ,-2.2337  ,9.9186  ,17.927  ,iso-1
20335  ,3.449e+002  ,-2.2337  ,9.9186  ,16.487  ,iso-1
20336  ,3.451e+002  ,-2.2338  ,9.9186  ,15.046  ,iso-1
20337  ,3.454e+002  ,-2.2344  ,9.9186  ,13.604  ,iso-1
20338  ,3.457e+002  ,-2.2348  ,9.9186  ,12.161  ,iso-1
20339  ,3.461e+002  ,-2.2341  ,9.9186  ,10.716  ,iso-1
20340  ,3.465e+002  ,-2.2338  ,9.9186  ,9.2727  ,iso-1
20341  ,3.470e+002  ,-2.2345  ,9.9186  ,7.8291  ,iso-1
20342  ,3.475e+002  ,-2.2346  ,9.9186  ,6.3853  ,iso-1
20343  ,3.481e+002  ,-2.2341  ,9.9186  ,4.9423  ,iso-1
