Date:  14:27, Wednesday, March 13, 2013
Model name: RD100_solder
Study name: Study 1
Plot type: Thermal Thermal2
Time step: 1
Result Type: HFluxY 


Node  ,Value (W/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)  ,Components
17964  ,-4.325e+002  ,-3.6491  ,9.9186  ,13.746  ,iso-1
17965  ,-3.639e+002  ,-3.6491  ,9.9186  ,12.3  ,iso-1
17966  ,-4.680e+002  ,-3.6491  ,9.9186  ,10.853  ,iso-1
17967  ,-3.788e+002  ,-3.6491  ,9.9186  ,9.4069  ,iso-1
17968  ,-4.279e+002  ,-3.6491  ,9.9186  ,7.9605  ,iso-1
17969  ,-1.247e+003  ,-3.6491  ,9.9186  ,6.5141  ,iso-1
17970  ,-1.045e+003  ,-3.6491  ,9.9186  ,5.0677  ,iso-1
17971  ,-1.424e+003  ,-3.6491  ,9.9186  ,3.6214  ,iso-1
17972  ,-5.092e+003  ,-3.6491  ,9.9186  ,2.175  ,iso-1
17973  ,-9.133e+003  ,-3.6491  ,9.9186  ,0.72857  ,iso-1
17974  ,-2.722e+004  ,-3.6491  ,9.9186  ,-0.71781  ,iso-1
17975  ,-5.342e+004  ,-3.6491  ,9.9186  ,-2.1642  ,iso-1
17976  ,-6.815e+005  ,-3.6491  ,9.9186  ,-3.6106  ,iso-1
17977  ,-1.904e+006  ,-3.6491  ,9.9186  ,-5.057  ,iso-1
17978  ,-7.162e+005  ,-3.6491  ,9.9186  ,-6.5034  ,iso-1
17979  ,-6.054e+004  ,-3.6491  ,9.9186  ,-7.9498  ,iso-1
17980  ,-2.681e+004  ,-3.6491  ,9.9186  ,-9.3961  ,iso-1
17981  ,-6.318e+003  ,-3.6491  ,9.9186  ,-10.843  ,iso-1
17982  ,-3.950e+003  ,-3.6491  ,9.9186  ,-12.289  ,iso-1
17983  ,-8.903e+002  ,-3.6491  ,9.9186  ,-13.735  ,iso-1
17984  ,-6.885e+002  ,-3.6491  ,9.9186  ,-15.182  ,iso-1
17985  ,-8.977e+002  ,-3.6491  ,9.9186  ,-16.628  ,iso-1
17986  ,-5.683e+002  ,-3.6491  ,9.9186  ,-18.074  ,iso-1
17987  ,-4.584e+002  ,-3.6491  ,9.9186  ,-19.521  ,iso-1
17988  ,-3.772e+002  ,-3.6491  ,9.9186  ,-20.967  ,iso-1
17989  ,-3.945e+002  ,-3.6491  ,9.9186  ,-22.414  ,iso-1
17990  ,-4.686e+002  ,-3.6491  ,9.9186  ,-23.86  ,iso-1
17991  ,-4.811e+002  ,-3.6491  ,9.9186  ,-25.306  ,iso-1
17992  ,-6.100e+002  ,-3.6491  ,9.9186  ,-26.753  ,iso-1
17993  ,-1.021e+003  ,-3.6491  ,9.9186  ,-28.199  ,iso-1
17994  ,-2.052e+003  ,-3.6491  ,9.9186  ,-29.646  ,iso-1
17995  ,-2.144e+003  ,-2.2231  ,9.9186  ,19.532  ,iso-1
17996  ,-9.015e+002  ,-2.2231  ,9.9186  ,18.085  ,iso-1
17997  ,-5.997e+002  ,-2.2231  ,9.9186  ,16.639  ,iso-1
17998  ,-4.794e+002  ,-2.2231  ,9.9186  ,15.192  ,iso-1
17999  ,-4.523e+002  ,-2.2231  ,9.9186  ,13.746  ,iso-1
18000  ,-3.787e+002  ,-2.2231  ,9.9186  ,12.3  ,iso-1
18001  ,-4.406e+002  ,-2.2231  ,9.9186  ,10.853  ,iso-1
18002  ,-3.216e+002  ,-2.2231  ,9.9186  ,9.4069  ,iso-1
18003  ,-2.993e+002  ,-2.2231  ,9.9186  ,7.9605  ,iso-1
18004  ,-8.768e+002  ,-2.2231  ,9.9186  ,6.5141  ,iso-1
18005  ,-1.341e+002  ,-2.2231  ,9.9186  ,5.0677  ,iso-1
18006  ,-6.607e+002  ,-2.2231  ,9.9186  ,3.6214  ,iso-1
18007  ,-3.360e+003  ,-2.2231  ,9.9186  ,2.175  ,iso-1
18008  ,-3.623e+003  ,-2.2231  ,9.9186  ,0.72857  ,iso-1
18009  ,-1.431e+004  ,-2.2231  ,9.9186  ,-0.71781  ,iso-1
18010  ,-2.863e+004  ,-2.2231  ,9.9186  ,-2.1642  ,iso-1
18011  ,-1.423e+005  ,-2.2231  ,9.9186  ,-3.6106  ,iso-1
18012  ,-4.267e+005  ,-2.2231  ,9.9186  ,-5.057  ,iso-1
18013  ,-1.416e+005  ,-2.2231  ,9.9186  ,-6.5034  ,iso-1
18014  ,-3.511e+004  ,-2.2231  ,9.9186  ,-7.9498  ,iso-1
18015  ,-1.366e+004  ,-2.2231  ,9.9186  ,-9.3961  ,iso-1
18016  ,-2.971e+003  ,-2.2231  ,9.9186  ,-10.843  ,iso-1
18017  ,-2.514e+003  ,-2.2231  ,9.9186  ,-12.289  ,iso-1
18018  ,-1.702e+003  ,-2.2231  ,9.9186  ,-13.735  ,iso-1
18019  ,-4.559e+002  ,-2.2231  ,9.9186  ,-15.182  ,iso-1
