Date:  14:29, Wednesday, March 13, 2013
Model name: RD100_solder
Study name: Study 1
Plot type: Thermal Thermal2
Time step: 1
Result Type: HFluxY 


Node  ,Value (W/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)  ,Components
20266  ,1.150e+002  ,-14.309  ,9.9186  ,22.248  ,iso-1
20267  ,1.108e+002  ,-15.73  ,9.9186  ,22.248  ,iso-1
20268  ,1.073e+002  ,-17.151  ,9.9186  ,22.248  ,iso-1
20269  ,1.037e+002  ,-18.572  ,9.9186  ,22.248  ,iso-1
20270  ,9.952e+001  ,-19.992  ,9.9186  ,22.248  ,iso-1
20271  ,9.797e+001  ,-21.413  ,9.9186  ,22.248  ,iso-1
20272  ,9.012e+001  ,-22.834  ,9.9186  ,22.248  ,iso-1
20273  ,8.645e+001  ,-24.254  ,9.9186  ,22.248  ,iso-1
20274  ,8.274e+001  ,-25.675  ,9.9186  ,22.248  ,iso-1
20275  ,7.938e+001  ,-27.096  ,9.9186  ,22.248  ,iso-1
20276  ,7.467e+001  ,-28.516  ,9.9186  ,22.248  ,iso-1
20277  ,7.263e+001  ,-29.937  ,9.9186  ,22.248  ,iso-1
20278  ,6.822e+001  ,-31.358  ,9.9186  ,22.248  ,iso-1
20279  ,6.667e+001  ,-32.778  ,9.9186  ,22.248  ,iso-1
20280  ,6.337e+001  ,-34.199  ,9.9186  ,22.248  ,iso-1
20281  ,6.110e+001  ,-35.62  ,9.9186  ,22.248  ,iso-1
20282  ,5.939e+001  ,-37.04  ,9.9186  ,22.248  ,iso-1
20283  ,5.781e+001  ,-38.461  ,9.9186  ,22.248  ,iso-1
20284  ,5.740e+001  ,-39.882  ,9.9186  ,22.248  ,iso-1
20285  ,5.916e+001  ,-41.302  ,9.9186  ,22.248  ,iso-1
20286  ,6.481e+001  ,-42.723  ,9.9186  ,22.248  ,iso-1
20287  ,3.341e+002  ,-44.144  ,9.9186  ,22.248  ,iso-1
20288  ,4.836e+002  ,-45.564  ,9.9186  ,22.248  ,iso-1
20289  ,-2.358e+002  ,-5.0751  ,9.9186  ,20.83  ,iso-1
20290  ,-6.250e+001  ,-5.0935  ,9.9186  ,19.412  ,iso-1
20291  ,3.119e+001  ,-5.224  ,9.9186  ,17.994  ,iso-1
20292  ,4.042e+001  ,-5.5834  ,9.9186  ,16.576  ,iso-1
20293  ,-1.092e+001  ,-4.6138  ,9.9186  ,15.158  ,iso-1
20294  ,-2.487e+001  ,-4.9145  ,9.9186  ,13.74  ,iso-1
20295  ,1.577e+001  ,-5.0327  ,9.9186  ,12.322  ,iso-1
20296  ,-4.810e+001  ,-5.0659  ,9.9186  ,10.904  ,iso-1
20297  ,-1.481e+001  ,-5.0733  ,9.9186  ,9.4865  ,iso-1
20298  ,2.619e+001  ,-5.0748  ,9.9186  ,8.0686  ,iso-1
20299  ,2.176e+001  ,-5.075  ,9.9186  ,6.6507  ,iso-1
20300  ,1.764e+002  ,-5.0751  ,9.9186  ,5.2327  ,iso-1
20301  ,4.145e+002  ,-5.0751  ,9.9186  ,3.8148  ,iso-1
20302  ,-6.088e+002  ,-5.0751  ,9.9186  ,2.3968  ,iso-1
20303  ,9.895e+002  ,-5.0751  ,9.9186  ,0.9789  ,iso-1
20304  ,8.069e+003  ,-5.0751  ,9.9186  ,-0.43904  ,iso-1
20305  ,6.783e+003  ,-5.0751  ,9.9186  ,-9.6749  ,iso-1
20306  ,1.097e+003  ,-5.0751  ,9.9186  ,-11.093  ,iso-1
20307  ,-1.586e+002  ,-5.0751  ,9.9186  ,-12.511  ,iso-1
20308  ,1.202e+002  ,-5.0751  ,9.9186  ,-13.929  ,iso-1
20309  ,-5.700e+001  ,-5.0751  ,9.9186  ,-15.347  ,iso-1
20310  ,-1.657e+002  ,-5.0751  ,9.9186  ,-16.765  ,iso-1
20311  ,1.960e+001  ,-5.0751  ,9.9186  ,-18.183  ,iso-1
20312  ,-1.665e+001  ,-5.0751  ,9.9186  ,-19.601  ,iso-1
20313  ,2.280e+001  ,-5.0751  ,9.9186  ,-21.018  ,iso-1
20314  ,2.637e+001  ,-5.0751  ,9.9186  ,-22.436  ,iso-1
20315  ,-1.206e+000  ,-5.0751  ,9.9186  ,-23.854  ,iso-1
20316  ,-1.769e+000  ,-5.0751  ,9.9186  ,-25.272  ,iso-1
20317  ,-7.492e+000  ,-5.0751  ,9.9186  ,-26.69  ,iso-1
20318  ,-1.690e+001  ,-5.0751  ,9.9186  ,-28.108  ,iso-1
20319  ,-8.055e+001  ,-5.0751  ,9.9186  ,-29.526  ,iso-1
20320  ,-3.870e+002  ,-5.0751  ,9.9186  ,-30.944  ,iso-1
20321  ,-3.115e+002  ,-3.6544  ,9.9186  ,20.83  ,iso-1
20322  ,-3.711e+001  ,-3.674  ,9.9186  ,19.411  ,iso-1
20323  ,3.339e+001  ,-3.8087  ,9.9186  ,17.994  ,iso-1
20324  ,3.408e+001  ,-4.1584  ,9.9186  ,16.576  ,iso-1
20325  ,2.723e+000  ,-3.1703  ,9.9186  ,15.172  ,iso-1
20326  ,1.062e+001  ,-3.4603  ,9.9186  ,13.759  ,iso-1
20327  ,3.368e+001  ,-3.5917  ,9.9186  ,12.342  ,iso-1
20328  ,-1.821e+001  ,-3.6376  ,9.9186  ,10.924  ,iso-1
20329  ,1.989e+001  ,-3.6505  ,9.9186  ,9.506  ,iso-1
20330  ,1.079e+002  ,-3.6536  ,9.9186  ,8.0877  ,iso-1
20331  ,-1.148e+002  ,-3.6542  ,9.9186  ,6.6695  ,iso-1
20332  ,-2.132e+002  ,-3.6544  ,9.9186  ,5.2512  ,iso-1
20333  ,2.376e+002  ,-3.6544  ,9.9186  ,3.833  ,iso-1
20334  ,-1.072e+003  ,-3.6544  ,9.9186  ,2.4113  ,iso-1
20335  ,8.449e+002  ,-3.6544  ,9.9186  ,0.98493  ,iso-1
20336  ,6.269e+003  ,-3.6544  ,9.9186  ,-0.43904  ,iso-1
20337  ,6.557e+003  ,-3.6544  ,9.9186  ,-9.6749  ,iso-1
20338  ,-2.570e+002  ,-3.6544  ,9.9186  ,-11.09  ,iso-1
20339  ,2.278e+002  ,-3.6544  ,9.9186  ,-12.507  ,iso-1
20340  ,2.661e+002  ,-3.6544  ,9.9186  ,-13.925  ,iso-1
20341  ,7.853e+001  ,-3.6544  ,9.9186  ,-15.343  ,iso-1
20342  ,-1.168e+002  ,-3.6544  ,9.9186  ,-16.762  ,iso-1
20343  ,3.056e+001  ,-3.6544  ,9.9186  ,-18.18  ,iso-1
20344  ,-5.039e+001  ,-3.6544  ,9.9186  ,-19.598  ,iso-1
20345  ,2.600e+000  ,-3.6544  ,9.9186  ,-21.016  ,iso-1
20346  ,-8.840e+000  ,-3.6544  ,9.9186  ,-22.435  ,iso-1
20347  ,-1.719e+001  ,-3.6544  ,9.9186  ,-23.853  ,iso-1
20348  ,4.679e+000  ,-3.6544  ,9.9186  ,-25.271  ,iso-1
20349  ,9.458e+000  ,-3.6544  ,9.9186  ,-26.689  ,iso-1
20350  ,-1.653e+001  ,-3.6544  ,9.9186  ,-28.108  ,iso-1
20351  ,-6.201e+001  ,-3.6544  ,9.9186  ,-29.526  ,iso-1
20352  ,-3.621e+002  ,-3.6544  ,9.9186  ,-30.944  ,iso-1
20353  ,-6.103e+002  ,-2.2337  ,9.9186  ,20.83  ,iso-1
20354  ,3.432e+001  ,-2.2514  ,9.9186  ,19.405  ,iso-1
20355  ,3.018e+001  ,-2.3852  ,9.9186  ,17.988  ,iso-1
20356  ,3.681e+001  ,-2.7338  ,9.9186  ,16.582  ,iso-1
20357  ,-2.158e+000  ,-1.7715  ,9.9186  ,15.256  ,iso-1
20358  ,-2.809e+001  ,-2.0356  ,9.9186  ,13.884  ,iso-1
20359  ,4.795e+000  ,-2.1611  ,9.9186  ,12.475  ,iso-1
20360  ,-1.805e+000  ,-2.2109  ,9.9186  ,11.057  ,iso-1
20361  ,7.677e+001  ,-2.2275  ,9.9186  ,9.6376  ,iso-1
20362  ,1.690e+002  ,-2.2322  ,9.9186  ,8.2174  ,iso-1
20363  ,-2.198e+002  ,-2.2334  ,9.9186  ,6.7971  ,iso-1
20364  ,1.600e+002  ,-2.2336  ,9.9186  ,5.3769  ,iso-1
20365  ,5.515e+002  ,-2.2337  ,9.9186  ,3.9566  ,iso-1
20366  ,-3.900e+002  ,-2.2337  ,9.9186  ,2.5283  ,iso-1
20367  ,1.217e+003  ,-2.2337  ,9.9186  ,1.0483  ,iso-1
20368  ,9.379e+003  ,-2.2337  ,9.9186  ,-0.43904  ,iso-1
20369  ,3.308e+003  ,-2.2337  ,9.9186  ,-9.6749  ,iso-1
20370  ,1.154e+003  ,-2.2337  ,9.9186  ,-11.068  ,iso-1
20371  ,-1.976e+002  ,-2.2337  ,9.9186  ,-12.482  ,iso-1
20372  ,-3.294e+002  ,-2.2337  ,9.9186  ,-13.901  ,iso-1
20373  ,1.975e+002  ,-2.2337  ,9.9186  ,-15.321  ,iso-1
20374  ,1.214e+002  ,-2.2337  ,9.9186  ,-16.741  ,iso-1
20375  ,1.470e+001  ,-2.2337  ,9.9186  ,-18.161  ,iso-1
20376  ,-1.640e+001  ,-2.2337  ,9.9186  ,-19.582  ,iso-1
20377  ,7.807e+000  ,-2.2337  ,9.9186  ,-21.002  ,iso-1
20378  ,-2.141e+001  ,-2.2337  ,9.9186  ,-22.422  ,iso-1
20379  ,3.843e+000  ,-2.2337  ,9.9186  ,-23.842  ,iso-1
20380  ,5.431e+000  ,-2.2337  ,9.9186  ,-25.263  ,iso-1
20381  ,-1.249e+001  ,-2.2337  ,9.9186  ,-26.683  ,iso-1
20382  ,-1.423e+001  ,-2.2337  ,9.9186  ,-28.103  ,iso-1
20383  ,-6.430e+001  ,-2.2337  ,9.9186  ,-29.524  ,iso-1
20384  ,-3.643e+002  ,-2.2337  ,9.9186  ,-30.944  ,iso-1
20385  ,-5.745e+002  ,-0.81303  ,9.9186  ,20.83  ,iso-1
20386  ,8.507e+000  ,-0.82445  ,9.9186  ,19.392  ,iso-1
20387  ,1.774e+001  ,-0.92782  ,9.9186  ,17.946  ,iso-1
20388  ,5.380e+001  ,-1.304  ,9.9186  ,16.579  ,iso-1
20389  ,4.492e+000  ,-0.55732  ,9.9186  ,15.396  ,iso-1
