Date:  14:26, Wednesday, March 13, 2013
Model name: RD100_solder
Study name: Study 1
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Kelvin)  ,X (mm)  ,Y (mm)  ,Z (mm)  ,Components
17967  ,3.464e+002  ,-3.6491  ,9.9186  ,9.4069  ,iso-1
17968  ,3.468e+002  ,-3.6491  ,9.9186  ,7.9605  ,iso-1
17969  ,3.473e+002  ,-3.6491  ,9.9186  ,6.5141  ,iso-1
17970  ,3.479e+002  ,-3.6491  ,9.9186  ,5.0677  ,iso-1
17971  ,3.486e+002  ,-3.6491  ,9.9186  ,3.6214  ,iso-1
17972  ,3.494e+002  ,-3.6491  ,9.9186  ,2.175  ,iso-1
17973  ,3.506e+002  ,-3.6491  ,9.9186  ,0.72857  ,iso-1
17974  ,3.522e+002  ,-3.6491  ,9.9186  ,-0.71781  ,iso-1
17975  ,3.550e+002  ,-3.6491  ,9.9186  ,-2.1642  ,iso-1
17976  ,3.609e+002  ,-3.6491  ,9.9186  ,-3.6106  ,iso-1
17977  ,3.665e+002  ,-3.6491  ,9.9186  ,-5.057  ,iso-1
17978  ,3.610e+002  ,-3.6491  ,9.9186  ,-6.5034  ,iso-1
17979  ,3.549e+002  ,-3.6491  ,9.9186  ,-7.9498  ,iso-1
17980  ,3.522e+002  ,-3.6491  ,9.9186  ,-9.3961  ,iso-1
17981  ,3.506e+002  ,-3.6491  ,9.9186  ,-10.843  ,iso-1
17982  ,3.494e+002  ,-3.6491  ,9.9186  ,-12.289  ,iso-1
17983  ,3.486e+002  ,-3.6491  ,9.9186  ,-13.735  ,iso-1
17984  ,3.479e+002  ,-3.6491  ,9.9186  ,-15.182  ,iso-1
17985  ,3.473e+002  ,-3.6491  ,9.9186  ,-16.628  ,iso-1
17986  ,3.468e+002  ,-3.6491  ,9.9186  ,-18.074  ,iso-1
17987  ,3.464e+002  ,-3.6491  ,9.9186  ,-19.521  ,iso-1
17988  ,3.460e+002  ,-3.6491  ,9.9186  ,-20.967  ,iso-1
17989  ,3.456e+002  ,-3.6491  ,9.9186  ,-22.414  ,iso-1
17990  ,3.454e+002  ,-3.6491  ,9.9186  ,-23.86  ,iso-1
17991  ,3.451e+002  ,-3.6491  ,9.9186  ,-25.306  ,iso-1
17992  ,3.449e+002  ,-3.6491  ,9.9186  ,-26.753  ,iso-1
17993  ,3.447e+002  ,-3.6491  ,9.9186  ,-28.199  ,iso-1
17994  ,3.445e+002  ,-3.6491  ,9.9186  ,-29.646  ,iso-1
